;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.19715;0.25224;0.21485;0.25224
1;0.30552;0.24221;0.22794;0.24221
1;0.21655;0.24813;0.21075;0.24813
1;0.24465;0.49168;0.22941;0.49168
1;0.25938;0.42148;0.20715;0.42148
1;0.21622;0.27226;0.30942;0.27226
1;0.26641;0.29631;0.32621;0.29631
1;0.26664;0.43637;0.26079;0.43637
1;0.24639;0.32168;0.32991;0.32168
1;0.25748;0.43486;0.23397;0.43486
1;0.28895;0.40536;0.36027;0.40536
1;0.26198;0.27168;0.28822;0.27168
1;0.34832;0.49620;0.34554;0.49620
1;0.23696;0.25924;0.21751;0.25924
1;0.22000;0.57240;0.26460;0.57240
1;0.21516;0.45609;0.23276;0.45609
1;0.27258;0.32747;0.27889;0.32747
1;0.21805;0.24797;0.21793;0.24797
1;0.27583;0.58421;0.27918;0.58421
1;0.21788;0.29054;0.24407;0.29054
1;0.33162;0.36652;0.32420;0.36652
1;0.22912;0.32413;0.18929;0.32413
1;0.23867;0.45222;0.24732;0.45222
1;0.20229;0.27453;0.29307;0.27453
1;0.25992;0.22125;0.26903;0.22125
1;0.23896;0.24663;0.34390;0.24663
1;0.13027;0.13130;0.16889;0.13130
1;0.18458;0.18067;0.21192;0.18067
1;0.33076;0.39739;0.30543;0.39739
1;0.26071;0.40774;0.28859;0.40774
1;0.26435;0.27672;0.25581;0.27672
1;0.23186;0.25922;0.21097;0.25922
1;0.31916;0.48568;0.39808;0.48568
1;0.24742;0.26752;0.21614;0.26752
1;0.27061;0.26818;0.35664;0.26818
1;0.31424;0.38549;0.24689;0.38549
