;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y18739;0.25403;0.35168;0.23653;0.35168
y18740;0.24759;0.20054;0.25654;0.20054
y18741;0.21642;0.24745;0.27405;0.24745
y18742;0.23171;0.32921;0.20896;0.32921
y18743;0.24616;0.58165;0.23105;0.58165
y18744;0.23769;0.26349;0.23495;0.26349
y18745;0.20380;0.37766;0.27525;0.37766
y18746;0.24781;0.34388;0.29896;0.34388
y18747;0.22498;0.31823;0.25407;0.31823
y18748;0.26413;0.47181;0.24614;0.47181
y18749;0.29211;0.43530;0.27284;0.43530
y18750;0.22951;0.38417;0.23912;0.38417
y18751;0.24993;0.46166;0.22447;0.46166
y18752;0.26214;0.43154;0.30337;0.43154
y18753;0.25777;0.53260;0.20681;0.53260
y18754;0.21297;0.27259;0.25740;0.27259
y18755;0.24778;0.35706;0.26123;0.35706
y18756;0.26636;0.32172;0.23247;0.32172
y18757;0.24919;0.36748;0.20419;0.36748
y18758;0.25215;0.24938;0.22104;0.24938
y18759;0.20410;0.32530;0.17498;0.32530
y18760;0.24061;0.27475;0.24037;0.27475
y18761;0.20868;0.21592;0.25192;0.21592
y18762;0.21857;0.31455;0.27144;0.31455
y18763;0.22988;0.46066;0.22405;0.46066
y18764;0.25041;0.27488;0.25147;0.27488
y18765;0.21422;0.21892;0.22387;0.21892
y18766;0.22579;0.28495;0.24394;0.28495
y18767;0.29054;0.35601;0.24595;0.35601
y18768;0.25461;0.26303;0.21104;0.26303
y18769;0.34027;0.33088;0.23367;0.33088
y18770;0.26295;0.23863;0.22341;0.23863
y18771;0.25366;0.51797;0.22946;0.51797
y18772;0.27697;0.38190;0.21818;0.38190
y18773;0.23850;0.34951;0.31733;0.34951
y18774;0.22250;0.21464;0.20780;0.21464
y18775;0.22976;0.38023;0.24133;0.38023
y18776;0.23731;0.33017;0.32855;0.33017
y18777;0.21306;0.22687;0.24351;0.22687
y18778;0.23798;0.37717;0.22348;0.37717
y18779;0.22823;0.20486;0.30272;0.20486
y18780;0.25277;0.48701;0.23682;0.48701
y18781;0.21159;0.52175;0.27181;0.52175
y18782;0.21803;0.25720;0.25944;0.25720
y18783;0.24479;0.23745;0.27403;0.23745
y18784;0.25666;0.45058;0.28435;0.45058
y18785;0.25456;0.45189;0.28219;0.45189
y18786;0.23028;0.38954;0.23088;0.38954
y18787;0.21709;0.20979;0.21478;0.20979
y18788;0.20031;0.29294;0.26249;0.29294
y18789;0.22943;0.39737;0.25943;0.39737
y18790;0.23351;0.33238;0.22221;0.33238
y18791;0.25775;0.19418;0.22534;0.19418
y18792;0.31019;0.32957;0.24944;0.32957
y18793;0.35097;0.38750;0.37736;0.38750
y18794;0.22767;0.31767;0.22132;0.31767
y18795;0.27740;0.21953;0.25350;0.21953
y18796;0.22500;0.28888;0.25249;0.28888
y18797;0.24376;0.33539;0.28985;0.33539
y18798;0.26909;0.30733;0.26854;0.30733
y18799;0.28847;0.34938;0.29196;0.34938
y18800;0.24929;0.33508;0.20576;0.33508
y18801;0.23170;0.37970;0.27344;0.37970
y18802;0.23764;0.31539;0.25236;0.31539
